time,stapm_value,ppt_limit_fast,ppt_value_fast,ppt_limit_slow,ppt_value_slow,ppt_value_apu
22/02/2025 16:05:22,"2,484",20,"2,023",20,"2,308","2,309"
22/02/2025 16:05:23,"2,484",20,"3,063",20,"2,296","2,297"
22/02/2025 16:05:24,"2,483",20,"2,363",20,"2,281","2,282"
22/02/2025 16:05:25,"2,482",20,"2,141",20,"2,252","2,252"
22/02/2025 16:05:26,"2,481",20,"1,986",20,"2,24","2,24"
22/02/2025 16:05:27,"2,48",20,"2,335",20,"2,208","2,209"
22/02/2025 16:05:28,"2,479",20,"2,383",20,"2,183","2,184"
22/02/2025 16:05:29,"2,478",20,"2,018",20,"2,168","2,169"
22/02/2025 16:05:30,"2,477",20,"1,799",20,"2,145","2,145"
22/02/2025 16:05:31,"2,476",20,"1,74",20,"2,127","2,127"
22/02/2025 16:05:32,"2,476",20,"2,27",20,"2,114","2,115"
22/02/2025 16:05:33,"2,475",20,"2,03",20,"2,092","2,093"
22/02/2025 16:05:34,"2,474",20,"2,22",20,"2,071","2,072"
22/02/2025 16:05:35,"2,474",20,"1,992",20,"2,063","2,063"
22/02/2025 16:05:36,"2,473",20,"1,99",20,"2,053","2,054"
22/02/2025 16:05:37,"2,473",20,"1,772",20,"2,04","2,042"
22/02/2025 16:05:38,"2,472",20,"1,803",20,"2,027","2,029"
22/02/2025 16:05:39,"2,472",20,"2,419",20,"2,022","2,023"
22/02/2025 16:05:40,"2,471",20,"1,768",20,"2,008","2,009"
22/02/2025 16:05:42,"2,471",20,"1,779",20,"1,998","1,999"
22/02/2025 16:05:43,"2,47",20,"1,744",20,"1,985","1,987"
22/02/2025 16:05:44,"2,47",20,"1,808",20,"1,98","1,982"
22/02/2025 16:05:45,"2,469",20,"2,107",20,"1,971","1,973"
22/02/2025 16:05:46,"2,469",20,"1,772",20,"2,003","2,005"
22/02/2025 16:05:47,"2,468",20,"1,775",20,"1,994","1,995"
22/02/2025 16:05:48,"2,468",20,"1,782",20,"1,986","1,988"
22/02/2025 16:05:49,"2,468",20,"1,781",20,"1,979","1,981"
22/02/2025 16:05:50,"2,467",20,"2,329",20,"1,977","1,979"
22/02/2025 16:05:51,"2,467",20,"1,769",20,"1,967","1,969"
22/02/2025 16:05:52,"2,466",20,"1,818",20,"1,959","1,96"
22/02/2025 16:05:53,"2,466",20,2,20,"1,95","1,952"
22/02/2025 16:05:54,"2,465",20,"2,05",20,"1,938","1,94"
22/02/2025 16:05:55,"2,464",20,"2,006",20,"1,932","1,934"
22/02/2025 16:05:56,"2,462",20,"1,799",20,"1,894","1,896"
22/02/2025 16:05:57,"2,462",20,"2,444",20,"1,914","1,915"
22/02/2025 16:05:58,"2,462",20,"3,626",20,"2,017","2,019"
